Treatmentno,Treatment,Naddition,Paddition,Nadd,Padd,Block,Plot,Spname,ST,Snm,STP,Spno,PA,PM,LMA,N,P ,NP,PNUE,PPUE,SP,MP,NP1,RP,SP100,MP100,NP100,RP100
3,P,0,1,no,yes,3,3,C. cyrtophyllum,Cc+P,Cc,Cc+P3,1,8.413333333,387.2479359,21.72596043,41.51169993,1.793418788,23.14668509,130.6010381,6693.743865,0.499678355,0.857234042,0.296105354,0.140401037,27.86177765,47.79887709,16.51066419,7.828681071
3,P,0,1,no,yes,4,4,C. cyrtophyllum,Cc+P,Cc,Cc+P4,1,13.17666667,408.7358798,32.23760702,30.78777401,3.884948624,7.924885755,185.8628141,3261.513471,0.712313001,2.127538485,0.487043881,0.558053258,18.33519745,54.76361955,12.53668782,14.36449518
3,P,0,1,no,yes,5,5,C. cyrtophyllum,Cc+P,Cc,Cc+P5,1,14.68666667,422.493862,34.76184624,39.69695215,1.79851882,22.07202489,149.0017179,7282.275602,0.515194697,0.699534579,0.421084016,0.162705528,28.64549935,38.89503804,23.41282233,9.046640285
4,NP,1,1,yes,yes,1,1,C. cyrtophyllum,Cc+NP,Cc,Cc+NP1,1,5.047166667,173.4337244,32.47348435,48.32950353,2.700198198,17.89850226,51.78245053,2448.477046,0.594863382,1.136816786,0.488214987,0.480303043,22.03035996,42.10123489,18.0807093,17.78769586
4,NP,1,1,yes,yes,2,2,C. cyrtophyllum,Cc+NP,Cc,Cc+NP2,1,1.997866667,81.31082778,24.57073333,54.30626095,3.598728597,15.09040193,20.96170072,700.4239396,0.30235667,2.220585733,0.545696547,0.530089647,8.401763613,61.70472915,15.1635927,14.72991454
4,NP,1,1,yes,yes,3,3,C. cyrtophyllum,Cc+NP,Cc,Cc+NP3,1,11.39166667,339.436936,33.56048049,44.05457299,1.894162388,23.25807612,107.8688722,5555.249689,0.312612666,0.72326466,0.317633864,0.540651198,16.50400558,38.18387823,16.7690936,28.5430226
4,NP,1,1,yes,yes,4,4,C. cyrtophyllum,Cc+NP,Cc,Cc+NP4,1,4.305333333,141.8088251,30.36012273,45.65738872,2.300423947,19.84738021,43.48307265,1910.984096,0.50200954,1.002333665,0.430111337,0.365969404,21.82247932,43.57169325,18.69704661,15.90878082
4,NP,1,1,yes,yes,5,5,C. cyrtophyllum,Cc+NP,Cc,Cc+NP5,1,2.4938,131.1783086,19.01076502,52.74839333,2.499017619,21.10765164,34.81615656,1627.250459,0.376186781,1.05296298,0.557250935,0.512616923,15.0533865,42.13507628,22.29879977,20.51273745
1,CT,0,0,no,no,1,1,S. bullockii,Sb+CT,Sb,Sb+CT1,2,6.813333333,98.57902671,69.11544535,14.11987997,0.757272868,18.64569639,97.74207545,4035.467212,0.249469118,0.134531505,0.184286747,0.188985497,32.94309472,17.76526144,24.33558038,24.95606346
1,CT,0,0,no,no,2,2,S. bullockii,Sb+CT,Sb,Sb+CT2,2,11.971,165.5418286,72.31404959,14.21604153,0.800818406,17.7518916,163.0260853,6408.190231,0.21,0.237040183,0.251275341,0.312502883,25.38798305,18.03988666,27.16980312,29.40232718
1,CT,0,0,no,no,3,3,S. bullockii,Sb+CT,Sb,Sb+CT3,2,6.637666667,100.4614271,66.07179347,13.75057306,0.654186839,21.01933613,102.2837357,4760.573061,0.255337445,0.0537792,0.171648376,0.173421818,39.03127206,8.22077074,26.23843303,26.50952418
1,CT,0,0,no,no,4,4,S. bullockii,Sb+CT,Sb,Sb+CT4,2,9.575733333,140.1547886,68.32255558,14.34760933,0.626818257,22.88958429,136.7591628,6931.512278,0.213351341,0.142934004,0.243563951,0.240320303,25.38798305,18.03988666,27.16980312,29.40232718
1,CT,0,0,no,no,5,5,S. bullockii,Sb+CT,Sb,Sb+CT5,2,11.16066667,186.1523854,59.95446496,15.70345345,0.785584989,19.98950295,165.9592525,7345.766569,0.209483939,0.166352051,0.329721715,0.289511223,25.38798305,18.03988666,27.16980312,29.40232718
1,CT,0,0,no,no,1,6,S. bullockii,Sb+CT,Sb,Sb+CT6,2,11.14533333,149.7761333,74.41327991,12.87242966,0.683330512,18.83777973,162.8958885,6794.750202,0.057734646,0.140776089,0.235998879,0.248820898,8.449007413,20.601464,34.53656394,36.41296465
1,CT,0,0,no,no,3,7,S. bullockii,Sb+CT,Sb,Sb+CT7,2,9.026333333,106.4286758,84.81110254,14.39643809,0.792004364,18.17722066,103.4979244,4165.74592,0.275394546,0.124763929,0.179288127,0.212557762,34.77184701,15.75293452,22.63726504,26.83795343
2,N,1,0,yes,no,1,1,S. bullockii,Sb+N,Sb,Sb+N1,2,6.595333333,104.9891041,62.81921722,15.26847642,0.644779488,23.68015222,96.26680595,5047.713655,0.25,0.159610448,0.232359858,0.252809182,21.37436017,21.20482108,28.2263874,29.19443135
2,N,1,0,yes,no,2,2,S. bullockii,Sb+N,Sb,Sb+N2,2,3.421666667,40.81559524,83.83233533,14.39108111,0.63166604,22.78273677,39.70642157,2003.089248,0.158130551,0.136139931,0.17026655,0.167129007,25.03388523,21.55251708,26.95515338,26.45844431
2,N,1,0,yes,no,3,3,S. bullockii,Sb+N,Sb,Sb+N3,2,15.77166667,221.4452678,71.2215114,16.42193027,0.615993694,26.65925063,188.7861962,11144.27529,0.077395204,0.140547775,0.187880027,0.210170687,12.56428511,22.81643085,30.50031671,34.11896734
2,N,1,0,yes,no,4,4,S. bullockii,Sb+N,Sb,Sb+N4,2,6.591666667,85.53060332,77.06793137,15.29240471,0.607085948,25.18985121,78.30216826,4367.501358,0.207726176,0.099951075,0.155283403,0.144125295,34.21693028,16.46407316,25.5784874,23.74050916
2,N,1,0,yes,no,5,5,S. bullockii,Sb+N,Sb,Sb+N5,2,7.491333333,94.91019911,78.93075142,14.54832093,0.569332954,25.55327392,91.33306821,5167.830444,0.077898071,0.136561701,0.170068818,0.184804364,13.68234006,23.98626325,29.87159211,32.45980458
